algo,dtype,kind,n,warmups,trials,leaf,mean_s,min_s,std_s,bytes_abcs,extra_bytes_est,ws_before,ws_after,ws_delta,field_mul,field_add,field_ops,real_mul_equiv,real_add_equiv,real_ops_equiv,checksum
naive,complex,symmetric,2,2,10,64,9e-08,0,8.75595e-08,192,0,3690496,3710976,20480,8,4,12,32,24,56,2.74755
naive,complex,symmetric,4,2,10,64,3.3e-07,2e-07,1.33749e-07,768,0,3788800,3788800,0,64,48,112,256,224,480,19.9229
naive,complex,symmetric,8,2,10,64,7.1e-07,7e-07,3.16228e-08,3072,0,3788800,3788800,0,512,448,960,2048,1920,3968,115.959
naive,complex,symmetric,16,2,10,64,8.69e-06,7.4e-06,1.68223e-06,12288,0,3792896,3792896,0,4096,3840,7936,16384,15872,32256,617.798
naive,complex,symmetric,32,2,10,64,6.703e-05,6.65e-05,1.50115e-06,49152,0,3829760,3837952,8192,32768,31744,64512,131072,129024,260096,3434.79
naive,complex,symmetric,64,2,10,64,0.00046592,0.0003817,9.59008e-05,196608,0,3928064,3985408,57344,262144,258048,520192,1048576,1040384,2088960,19279.4
naive,complex,symmetric,128,2,10,64,0.00318384,0.0030038,0.000185634,786432,0,4325376,4583424,258048,2097152,2080768,4177920,8388608,8355840,16744448,107845
naive,complex,symmetric,256,2,10,64,0.0331582,0.0272653,0.00759222,3145728,0,6692864,7741440,1048576,16777216,16711680,33488896,67108864,66977792,134086656,621600
naive,complex,symmetric,512,2,10,64,0.433336,0.396263,0.0392956,12582912,0,12197888,16392192,4194304,134217728,133955584,268173312,536870912,536346624,1073217536,3.50835e+06
