algo,dtype,kind,n,warmups,trials,leaf,mean_s,min_s,std_s,bytes_abcs,extra_bytes_est,ws_before,ws_after,ws_delta,field_mul,field_add,field_ops,real_mul_equiv,real_add_equiv,real_ops_equiv,checksum
strassen,complex,random,2,2,10,1,4.2e-07,3e-07,1.0328e-07,192,1360,3706880,3731456,24576,7,18,25,28,50,78,2.27174
strassen,complex,random,4,2,10,1,1.47e-06,1.3e-06,1.49443e-07,768,2080,3809280,3809280,0,49,198,247,196,494,690,21.2675
strassen,complex,random,8,2,10,1,9.4e-06,8e-06,1.10955e-06,3072,4528,3809280,3809280,0,343,1674,2017,1372,4034,5406,124.804
strassen,complex,random,16,2,10,1,5.282e-05,3.39e-05,1.5177e-05,12288,13888,3813376,3829760,16384,2401,12870,15271,9604,30542,40146,598.72
strassen,complex,random,32,2,10,1,0.00025506,0.0002383,8.31801e-06,49152,50896,3846144,3907584,61440,16807,94698,111505,67228,223010,290238,3387.01
strassen,complex,random,64,2,10,1,0.00186949,0.0018364,3.858e-05,196608,198496,3948544,4206592,258048,117649,681318,798967,470596,1597934,2068530,19449.2
strassen,complex,random,128,2,10,1,0.0159369,0.0124873,0.00548534,786432,788464,4345856,5390336,1044480,823543,4842954,5666497,3294172,11332994,14627166,109488
strassen,complex,random,256,2,10,1,0.105441,0.0896334,0.0239654,3145728,3147904,6447104,10645504,4198400,5764801,34195590,39960391,23059204,79920782,102979986,619309
strassen,complex,random,512,2,10,1,0.637102,0.611672,0.0475194,12582912,12585232,12214272,28995584,16781312,40353607,240548778,280902385,161414428,561804770,723219198,3.50387e+06
