algo,dtype,kind,n,warmups,trials,leaf,mean_s,min_s,std_s,bytes_abcs,extra_bytes_est,ws_before,ws_after,ws_delta,field_mul,field_add,field_ops,real_mul_equiv,real_add_equiv,real_ops_equiv,checksum
naive,complex,random,2,2,10,64,1.3e-07,0,1.05935e-07,192,0,3698688,3719168,20480,8,4,12,32,24,56,2.27174
naive,complex,random,4,2,10,64,2.3e-07,2e-07,6.74949e-08,768,0,3801088,3801088,0,64,48,112,256,224,480,21.2675
naive,complex,random,8,2,10,64,8.8e-07,8e-07,6.32456e-08,3072,0,3801088,3801088,0,512,448,960,2048,1920,3968,124.804
naive,complex,random,16,2,10,64,8.53e-06,7.7e-06,5.01221e-07,12288,0,3805184,3805184,0,4096,3840,7936,16384,15872,32256,598.72
naive,complex,random,32,2,10,64,5.556e-05,5.37e-05,2.32771e-06,49152,0,3842048,3850240,8192,32768,31744,64512,131072,129024,260096,3387.01
naive,complex,random,64,2,10,64,0.00039554,0.0003808,3.99868e-05,196608,0,3940352,3997696,57344,262144,258048,520192,1048576,1040384,2088960,19449.2
naive,complex,random,128,2,10,64,0.00355924,0.0030716,0.000509312,786432,0,4337664,4595712,258048,2097152,2080768,4177920,8388608,8355840,16744448,109488
naive,complex,random,256,2,10,64,0.0398273,0.0273233,0.0108118,3145728,0,6705152,7753728,1048576,16777216,16711680,33488896,67108864,66977792,134086656,619309
naive,complex,random,512,2,10,64,0.409257,0.380734,0.0306183,12582912,0,12210176,16404480,4194304,134217728,133955584,268173312,536870912,536346624,1073217536,3.50387e+06
