algo,dtype,kind,n,warmups,trials,leaf,mean_s,min_s,std_s,bytes_abcs,extra_bytes_est,ws_before,ws_after,ws_delta,field_mul,field_add,field_ops,real_mul_equiv,real_add_equiv,real_ops_equiv,checksum
strassen,real,symmetric,2,2,10,1,2.6e-07,2e-07,6.99206e-08,96,1264,3690496,3715072,24576,7,18,25,7,18,25,0.0959831
strassen,real,symmetric,4,2,10,1,2.21e-06,2.1e-06,9.94429e-08,384,1696,3792896,3792896,0,49,198,247,49,198,247,0.00356969
strassen,real,symmetric,8,2,10,1,1.15e-05,1.05e-05,1.39682e-06,1536,2992,3792896,3792896,0,343,1674,2017,343,1674,2017,8.3965
strassen,real,symmetric,16,2,10,1,4.903e-05,4.16e-05,8.59419e-06,6144,7744,3792896,3801088,8192,2401,12870,15271,2401,12870,15271,-15.6647
strassen,real,symmetric,32,2,10,1,0.00027825,0.0002621,1.25145e-05,24576,26320,3813376,3842048,28672,16807,94698,111505,16807,94698,111505,1.48293
strassen,real,symmetric,64,2,10,1,0.00281864,0.0019892,0.000562029,98304,100192,3866624,3989504,122880,117649,681318,798967,117649,681318,798967,317.451
strassen,real,symmetric,128,2,10,1,0.0150734,0.0142215,0.0017035,393216,395248,4063232,4579328,516096,823543,4842954,5666497,823543,4842954,5666497,357.614
strassen,real,symmetric,256,2,10,1,0.122781,0.101949,0.0263266,1572864,1575040,4857856,6950912,2093056,5764801,34195590,39960391,5764801,34195590,39960391,-183.865
strassen,real,symmetric,512,2,10,1,0.720675,0.696177,0.0257561,6291456,6293776,8527872,16920576,8392704,40353607,240548778,280902385,40353607,240548778,280902385,-8428.06
