algo,dtype,kind,n,warmups,trials,leaf,mean_s,min_s,std_s,bytes_abcs,extra_bytes_est,ws_before,ws_after,ws_delta,field_mul,field_add,field_ops,real_mul_equiv,real_add_equiv,real_ops_equiv,checksum
strassen,complex,hermitian,2,2,10,1,4.5e-07,4e-07,9.71825e-08,192,1360,3694592,3719168,24576,7,18,25,28,50,78,2.11407
strassen,complex,hermitian,4,2,10,1,2.17e-06,2e-06,2.11082e-07,768,2080,3796992,3796992,0,49,198,247,196,494,690,24.0803
strassen,complex,hermitian,8,2,10,1,1.502e-05,1.44e-05,5.0728e-07,3072,4528,3796992,3796992,0,343,1674,2017,1372,4034,5406,91.0884
strassen,complex,hermitian,16,2,10,1,0.00011831,8.38e-05,3.50945e-05,12288,13888,3801088,3817472,16384,2401,12870,15271,9604,30542,40146,593.188
strassen,complex,hermitian,32,2,10,1,0.00035845,0.0003234,1.96827e-05,49152,50896,3833856,3895296,61440,16807,94698,111505,67228,223010,290238,3243.34
strassen,complex,hermitian,64,2,10,1,0.00185721,0.0017421,0.000127827,196608,198496,3936256,4194304,258048,117649,681318,798967,470596,1597934,2068530,19348.6
strassen,complex,hermitian,128,2,10,1,0.0128748,0.0127268,0.000129687,786432,788464,4333568,5378048,1044480,823543,4842954,5666497,3294172,11332994,14627166,109129
strassen,complex,hermitian,256,2,10,1,0.124503,0.0908835,0.032651,3145728,3147904,6434816,10633216,4198400,5764801,34195590,39960391,23059204,79920782,102979986,620353
strassen,complex,hermitian,512,2,10,1,0.674982,0.623691,0.0494861,12582912,12585232,12201984,28983296,16781312,40353607,240548778,280902385,161414428,561804770,723219198,3.50177e+06
