algo,dtype,kind,n,warmups,trials,leaf,mean_s,min_s,std_s,bytes_abcs,extra_bytes_est,ws_before,ws_after,ws_delta,field_mul,field_add,field_ops,real_mul_equiv,real_add_equiv,real_ops_equiv,checksum
naive,real,random,2,2,10,64,8e-08,0,9.18937e-08,96,0,3690496,3702784,12288,8,4,12,8,4,12,-0.384962
naive,real,random,4,2,10,64,1e-07,0,1.1547e-07,384,0,3780608,3780608,0,64,48,112,64,48,112,-0.226735
naive,real,random,8,2,10,64,3.2e-07,3e-07,6.32456e-08,1536,0,3780608,3780608,0,512,448,960,512,448,960,2.11255
naive,real,random,16,2,10,64,2e-06,1.9e-06,4.71405e-08,6144,0,3780608,3780608,0,4096,3840,7936,4096,3840,7936,-12.9508
naive,real,random,32,2,10,64,1.729e-05,1.71e-05,2.64365e-07,24576,0,3801088,3805184,4096,32768,31744,64512,32768,31744,64512,-131.735
naive,real,random,64,2,10,64,0.00017945,0.0001744,3.23118e-06,98304,0,3870720,3895296,24576,262144,258048,520192,262144,258048,520192,-57.0739
naive,real,random,128,2,10,64,0.00201273,0.00173,0.000193706,393216,0,4042752,4169728,126976,2097152,2080768,4177920,2097152,2080768,4177920,504.703
naive,real,random,256,2,10,64,0.0208359,0.0165188,0.0047538,1572864,0,5111808,5627904,516096,16777216,16711680,33488896,16777216,16711680,33488896,-2846.97
naive,real,random,512,2,10,64,0.338191,0.316992,0.0223938,6291456,0,8781824,10878976,2097152,134217728,133955584,268173312,134217728,133955584,268173312,-3103.22
