algo,dtype,kind,n,warmups,trials,leaf,mean_s,min_s,std_s,bytes_abcs,extra_bytes_est,ws_before,ws_after,ws_delta,field_mul,field_add,field_ops,real_mul_equiv,real_add_equiv,real_ops_equiv,checksum
strassen,complex,symmetric,2,2,10,1,2.6e-07,2e-07,9.66092e-08,192,1360,3694592,3719168,24576,7,18,25,28,50,78,2.74755
strassen,complex,symmetric,4,2,10,1,1.51e-06,1e-06,3.17805e-07,768,2080,3796992,3796992,0,49,198,247,196,494,690,19.9229
strassen,complex,symmetric,8,2,10,1,8.08e-06,7.5e-06,7.11493e-07,3072,4528,3796992,3796992,0,343,1674,2017,1372,4034,5406,115.959
strassen,complex,symmetric,16,2,10,1,4.57e-05,3.47e-05,2.71833e-05,12288,13888,3801088,3817472,16384,2401,12870,15271,9604,30542,40146,617.798
strassen,complex,symmetric,32,2,10,1,0.00028161,0.0002679,9.69747e-06,49152,50896,3833856,3895296,61440,16807,94698,111505,67228,223010,290238,3434.79
strassen,complex,symmetric,64,2,10,1,0.00266937,0.0017374,0.000660136,196608,198496,3936256,4194304,258048,117649,681318,798967,470596,1597934,2068530,19279.4
strassen,complex,symmetric,128,2,10,1,0.0146466,0.01271,0.00373516,786432,788464,4333568,5378048,1044480,823543,4842954,5666497,3294172,11332994,14627166,107845
strassen,complex,symmetric,256,2,10,1,0.105983,0.0938482,0.0225023,3145728,3147904,6434816,10633216,4198400,5764801,34195590,39960391,23059204,79920782,102979986,621600
strassen,complex,symmetric,512,2,10,1,0.627403,0.6197,0.008199,12582912,12585232,12201984,28983296,16781312,40353607,240548778,280902385,161414428,561804770,723219198,3.50835e+06
