algo,dtype,kind,n,warmups,trials,leaf,mean_s,min_s,std_s,bytes_abcs,extra_bytes_est,ws_before,ws_after,ws_delta,field_mul,field_add,field_ops,real_mul_equiv,real_add_equiv,real_ops_equiv,checksum
naive,complex,hermitian,2,2,10,64,1.3e-07,0,1.33749e-07,192,0,3710976,3731456,20480,8,4,12,32,24,56,2.11407
naive,complex,hermitian,4,2,10,64,3.5e-07,3e-07,1.2693e-07,768,0,3809280,3809280,0,64,48,112,256,224,480,24.0803
naive,complex,hermitian,8,2,10,64,1.53e-06,1.2e-06,4.83161e-07,3072,0,3809280,3809280,0,512,448,960,2048,1920,3968,91.0884
naive,complex,hermitian,16,2,10,64,9.3e-06,9.2e-06,8.16497e-08,12288,0,3813376,3813376,0,4096,3840,7936,16384,15872,32256,593.188
naive,complex,hermitian,32,2,10,64,8.367e-05,8.31e-05,1.24459e-06,49152,0,3850240,3858432,8192,32768,31744,64512,131072,129024,260096,3243.34
naive,complex,hermitian,64,2,10,64,0.00040971,0.0003705,7.46526e-05,196608,0,3948544,4005888,57344,262144,258048,520192,1048576,1040384,2088960,19348.6
naive,complex,hermitian,128,2,10,64,0.00342402,0.0030221,0.000379343,786432,0,4345856,4603904,258048,2097152,2080768,4177920,8388608,8355840,16744448,109129
naive,complex,hermitian,256,2,10,64,0.0303283,0.0272734,0.00351507,3145728,0,6713344,7761920,1048576,16777216,16711680,33488896,67108864,66977792,134086656,620353
naive,complex,hermitian,512,2,10,64,0.434443,0.409254,0.0183305,12582912,0,12218368,16412672,4194304,134217728,133955584,268173312,536870912,536346624,1073217536,3.50177e+06
