algo,dtype,kind,n,warmups,trials,leaf,mean_s,min_s,std_s,bytes_abcs,extra_bytes_est,ws_before,ws_after,ws_delta,field_mul,field_add,field_ops,real_mul_equiv,real_add_equiv,real_ops_equiv,checksum
naive,real,symmetric,2,2,10,64,1.1e-07,0,1.1005e-07,96,0,3702784,3715072,12288,8,4,12,8,4,12,0.0959831
naive,real,symmetric,4,2,10,64,9e-08,0,5.67646e-08,384,0,3792896,3792896,0,64,48,112,64,48,112,0.00356969
naive,real,symmetric,8,2,10,64,5.5e-07,5e-07,1.2693e-07,1536,0,3792896,3792896,0,512,448,960,512,448,960,8.3965
naive,real,symmetric,16,2,10,64,4.07e-06,3.6e-06,2.66875e-07,6144,0,3792896,3792896,0,4096,3840,7936,4096,3840,7936,-15.6647
naive,real,symmetric,32,2,10,64,2.12e-05,1.82e-05,4.56192e-06,24576,0,3813376,3817472,4096,32768,31744,64512,32768,31744,64512,1.48293
naive,real,symmetric,64,2,10,64,0.00018419,0.0001795,5.18897e-06,98304,0,3883008,3907584,24576,262144,258048,520192,262144,258048,520192,317.451
naive,real,symmetric,128,2,10,64,0.00175725,0.0017043,5.00778e-05,393216,0,4055040,4182016,126976,2097152,2080768,4177920,2097152,2080768,4177920,357.614
naive,real,symmetric,256,2,10,64,0.0173765,0.0165835,0.00226079,1572864,0,5124096,5640192,516096,16777216,16711680,33488896,16777216,16711680,33488896,-183.865
naive,real,symmetric,512,2,10,64,0.343371,0.283965,0.0625262,6291456,0,8794112,10891264,2097152,134217728,133955584,268173312,134217728,133955584,268173312,-8428.06
